19666,9235817823
19983,6056410305
55878,6626828113
3876,1346199917
55308,0843924082
5467,3018409627
42410,4545753135
7569,401151882
5329,612521846
26888,2036361918
-38925,1262216356
28729,1329247526
-37912,4323635739
-7188,0618383472
-23188,5909997326
-40257,9157808424
-34869,2185135934
-47470,3466566538
-44346,1812004238
-41908,429087919
-36682,4912322589
-28426,6713926615
-14444,3630905573
6086,621136641
28641,3470335623
45713,7618118257
51612,7004070679
46864,363401673
36940,4347548851
28351,2128346703
24909,110667188
26517,2796397653
30522,317704796
33904,9704657423
34887,9798484752
33469,131447901
30912,2744533438
28706,2327328043
27694,4409430201
27812,5513961279
28396,7795477199
28715,4597461771
28376,2793061602
27437,2288494444
26247,8920355163
25180,0376053002
24423,4351797728
23938,5763052849
23545,5707270169
23061,3147241218
22398,2557688213
21584,0766586271
20714,7585421115
19885,0202479291
19139,6349973502
18465,4197090833
17816,024029325
17146,7232822854
16438,3661768126
15701,09289457
14961,6053933568
14245,4535846317
13565,087611975
12918,1890550026
12294,0192611061
11682,0414741673
11077,6822264785
10483,1633195623
9904,51203512767
9347,48581452666
8814,86600881238
8306,10927959414
7818,81399655731
7350,6770039136
6900,7615874
6469,61350058133
6058,50426863361
5668,45574193939
5299,62173496848
4951,24704931553
4622,05882596748
4310,76311411146
4016,36121287859
3738,17800387472
3475,67584768804
3228,21751113619
2994,92029000357
2774,65468269374
2566,15048354982
2368,12836846474
2179,38574931159
1998,81008837541
1825,33814511035
1657,9020964421
1495,39817274949
1336,69123869588
1180,64605242208
1026,164640197
872,211844247955
717,822225277894
562,092897504779
404,172572397383
243,255804797896
78,5858722459016
-90,5359992794038
-264,740220376905
-444,581760276702
-630,538146484003
-823,011409005001
-1022,331383369
-1228,7580885095
-1442,4822819227
-1663,6247311762
-1892,2354702615
-2128,2941608777
-2371,7119849717
-2622,3347723801
-2879,9466961478
-3144,2739356279
-3414,9880495188
-3691,7091602127
-3974,0092366948
-4261,4157307172
-4553,41565073
-4849,4599780881
-5148,9682358069
-5451,3330349619
-5755,92450834531
-6062,094631649
-6369,1814814283
-6676,513474165
-6983,41359094901
-7289,2035491028
-7593,2078593908
-7894,757711812
-8193,1946550649
-8487,8740590823
-8778,1683644615
-9063,4701237083
-9343,1948313418
-9616,7835307337
-9883,7051811244
-10143,4587704261
-10395,5751661044
-10639,6187037606
-10875,1885180409
-11101,9196220533
-11319,4837406442
-11527,5899014671
-11725,9847873646
-11914,4528547127
-12092,81622459
-12260,9343560008
-12418,7035121431
-12566,0560315261
-12702,9594158788
-12829,4152466257
-12945,4579417414
-13051,1533651437
-13146,5973013622
-13231,9138088193
-13307,25346547
-13372,7915206838
-13428,7259671516
-13475,275546515
-13512,6777016907
-13541,1864898128
-13561,0704680181
-13572,6105655893
-13576,0979547958
-13571,8319328639
-13560,1178269138
-13541,2649332394
-13515,5845017644
-13483,3877759573
-13444,9840979101
-13400,6790876709
-13350,7729052969
-13295,5586033848
-13235,3205770985
-13170,3331179647
-13100,8590769148
-13027,1486412468
-12949,4382294022
-12867,9495066394
-12782,8885238828
-12694,4449812213
-12602,7916167286
-12508,0837205218
-12410,4587731729
-12310,0362068802
-12206,917287102
-12101,1851116602
-11992,9047237269
-11882,1233344818
-11768,8706507106
-11653,1593020974
-11534,9853625139
-11414,3289592299
-11291,1549635957
-11165,4137564792
-11037,0420614905
-10905,9638388538
-10772,0912326375
-10635,3255639908
-10495,5583630033
-10352,6724318152
-10206,5429316816
-10057,0384868116
-9904,0222979424
-9747,353258816
-9586,8870689454
-9422,4773363292
-9253,97666406191
-9081,2377151072
-8904,1142498502
-8722,4621313932
-8536,1402939543
-8345,0116701167
-8148,9440730674
